trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",25,0,-34.62484744046475,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-124.9580179446541,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-81.57393491524847,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-148.90089136133898,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-39.165113668185434,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",30,0,-114.025013978139,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",30,0,-176.9657539727718,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-83.5917352621411,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-33.68524112396981,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,0,-83.58894010042951,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-118.1710750932527,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-127.9009325623523,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,0,-178.60624438026852,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-89.29418739622197,"{0: 13, 1: 4, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,6,-4.945858022994243,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,0,-59.86688448978791,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,0,-156.33862088286114,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
