trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.084417191698,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.915467200945,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.40976094930603,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.87946061089589,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.63046502637258,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.6221662302492,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.43486477388964,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.33330315134364,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,3,-153.0742626198432,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 3}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.97151967569315,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.99346553833698,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-198.45403017068102,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,9,-44.53006677525634,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.67882591476344,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,5,-48.93707015452579,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.18445097080982,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.59502308442185,"{0: 16, 1: 7, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.28367368136226,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,8,-170.7930414125059,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 3}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.33302513692982,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,6,-55.386500900470885,"{0: 10, 1: 7, 2: 1, 3: 1, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,3,-79.43138177960864,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.93921099923907,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,9,-84.06078327436687,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.04599643311968,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-28.656639412092222,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,6,-75.48910518294008,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-150.5479365814911,"{0: 10, 1: 6, 2: 7, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.81095743923458,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.54803498831,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
